gem_id,plant_name,country,parent_raw,ret_year,event_date,capacity_mw,lat,lon,matched_gvkeys,is_matched,is_first_mover,announcement_date,announcement_source
G100000114882,Wudi Zhongcheng Sanyue cogen power station,China,Wudi Xinyue Chemical Group Co Ltd [100.0%],2023,,60.0,38.097721,117.764757,,False,False,,
G100000114439,Wudi Zhongcheng Xinyue cogen power station,China,Wudi Xinyue Chemical Group Co Ltd [100.0%],2023,,60.0,38.097811,117.764709,,False,False,,
G100000111727,Zibo Hongda power station,China,natural person(s) [62.4%]; Shanghai Langhui Enterprise Development Co Ltd [37.6%],2023,,50.0,36.783333,118.05,,False,False,,
G100000112816,Zibo Hongda power station,China,natural person(s) [62.4%]; Shanghai Langhui Enterprise Development Co Ltd [37.6%],2023,,50.0,36.868147,118.199831,,False,False,,
G100000112817,Zibo Hongda power station,China,natural person(s) [62.4%]; Shanghai Langhui Enterprise Development Co Ltd [37.6%],2023,,50.0,36.868147,118.199831,,False,False,,
G100000108132,Prerov power station,Czech Republic,Veolia Environnement SA [100.0%],2023,,41.0,49.445061,17.428525,,False,False,,
G100000103596,Hanasaari power station,Finland,Helen Oy [100.0%],2023,,114.0,60.183678,24.971562,,False,False,,
G100000103597,Hanasaari power station,Finland,Helen Oy [100.0%],2023,,114.0,60.183678,24.971562,,False,False,,
G100000100986,Bois-Rouge power station,France,KKR & Co. Inc,2023,,62.0,-20.913831,55.636348,,False,True,,
G100000100987,Bois-Rouge power station,France,KKR & Co. Inc,2023,,46.0,-20.913831,55.636348,,False,True,,
G100000101091,Buer power station,Germany,Uniper SE,2023,,76.0,51.602778,7.009444,321632,True,False,,
G100000102770,Flensburg power station,Germany,Stadtwerke Flensburg GmbH [100.0%],2023,,36.0,54.804965,9.432424,,False,False,,
G100000101598,CKI Lamma power station,Hong Kong,HK Electric Investments and HK Electric Investments Ltd,2023,,250.0,22.2188909,114.1082183,317115,True,False,,
G100000101599,CKI Lamma power station,Hong Kong,HK Electric Investments and HK Electric Investments Ltd,2023,,350.0,22.2188909,114.1082183,317115,True,False,,
G100000101600,CKI Lamma power station,Hong Kong,HK Electric Investments and HK Electric Investments Ltd,2023,,350.0,22.2188909,114.1082183,317115,True,False,,
G100000107824,Parichha power station,India,U.P. Rajya Vidyut Utpadan Nigam Ltd [100.0%],2023,,110.0,25.513571,78.757918,,False,False,,
G100000107825,Parichha power station,India,U.P. Rajya Vidyut Utpadan Nigam Ltd [100.0%],2023,,110.0,25.513571,78.757918,,False,False,,
G100000100198,Andrea Palladio power station,Italy,Enel SpA [100.0%],2023,,320.0,45.4314,12.2468,201794,True,False,,
G100000100199,Andrea Palladio power station,Italy,Enel SpA [100.0%],2023,,320.0,45.4314,12.2468,201794,True,False,,
G100000106961,Mizushima power station,Japan,The Chugoku Electric Power Co Inc [100.0%],2023,,156.0,34.507803,133.7445,100439,True,False,,
G100001021429,Amer power station,Netherlands,RWE AG [100.0%],2023,,600.0,51.709806,4.843661,100953,True,False,,
G100000114993,Toledo City power station,Philippines,Manila Electric Co [100.0%],2023,,40.0,10.3873068,123.6424188,030282,True,False,,
G100000108683,Rybnik power station,Poland,PGE Polska Grupa Energetyczna SA [100.0%],2023,,225.0,50.13406,18.52196,293530,True,False,,
G100000108684,Rybnik power station,Poland,PGE Polska Grupa Energetyczna SA [100.0%],2023,,225.0,50.13406,18.52196,293530,True,False,,
G100000108645,Rovinari power station,Romania,Ministry of Energy (Romania) [77.2%]; Fondul Proprietatea SA [21.6%],2023,,330.0,44.910633,23.134754,,False,False,,
G100000112281,Bogoslovskaya power station,Russia,En+ Group PJSC [56.9%]; Sual Partners Ltd [25.5%]; small shareholder(s) [17.6%],2023,,33.0,59.781594,60.176435,,False,False,,
G100000112282,Bogoslovskaya power station,Russia,En+ Group PJSC [56.9%]; Sual Partners Ltd [25.5%]; small shareholder(s) [17.6%],2023,,41.0,59.781594,60.176435,,False,False,,
G100000115093,Chelyabinsk CHP-2 power station,Russia,Forward Energo PJSC [100.0%],2023,,60.0,55.155082,61.497137,285711,True,False,,
G100000115094,Chelyabinsk CHP-2 power station,Russia,Forward Energo PJSC [100.0%],2023,,60.0,55.155082,61.497137,285711,True,False,,
G100000115095,Chelyabinsk CHP-2 power station,Russia,Forward Energo PJSC [100.0%],2023,,100.0,55.155082,61.497137,285711,True,False,,
G100000115096,Chelyabinsk CHP-2 power station,Russia,Forward Energo PJSC [100.0%],2023,,100.0,55.155082,61.497137,285711,True,False,,
G100000105953,Krasnoyarsk CHP-1 power station,Russia,unknown,2023,,60.0,56.024994,93.031421,,False,False,,
G100000113998,Kumertau CHP power station,Russia,Kumertau Briquette Factory LLC [90.0%]; natural person(s) [10.0%],2023,,60.0,52.772112,55.820478,,False,False,,
G100000113999,Kumertau CHP power station,Russia,Kumertau Briquette Factory LLC [90.0%]; natural person(s) [10.0%],2023,,60.0,52.772112,55.820478,,False,False,,
G100000114004,Magnitogorskaya CHP power station,Russia,Magnitogorskiy Metallurgicheskiy Kombinat PJSC [100.0%],2023,,50.0,53.395273,59.021266,,False,False,,
G100000114005,Magnitogorskaya CHP power station,Russia,Magnitogorskiy Metallurgicheskiy Kombinat PJSC [100.0%],2023,,50.0,53.395273,59.021266,,False,False,,
G100000114006,Magnitogorskaya CHP power station,Russia,Magnitogorskiy Metallurgicheskiy Kombinat PJSC [100.0%],2023,,50.0,53.395273,59.021266,,False,False,,
G100000114007,Magnitogorskaya CHP power station,Russia,Magnitogorskiy Metallurgicheskiy Kombinat PJSC [100.0%],2023,,50.0,53.395273,59.021266,,False,False,,
G100000114008,Magnitogorskaya CHP power station,Russia,Magnitogorskiy Metallurgicheskiy Kombinat PJSC [100.0%],2023,,50.0,53.395273,59.021266,,False,False,,
G100000114009,Magnitogorskaya CHP power station,Russia,Magnitogorskiy Metallurgicheskiy Kombinat PJSC [100.0%],2023,,50.0,53.395273,59.021266,,False,False,,
G100000107531,Novaky power station,Slovakia,Ministry of Economy (Slovakia) [34.0%]; Enel SpA [33.0%]; EP Slovakia BV [33.0%],2023,,110.0,48.698823,18.533458,201794,True,False,,
G100000107532,Novaky power station,Slovakia,Ministry of Economy (Slovakia) [34.0%]; Enel SpA [33.0%]; EP Slovakia BV [33.0%],2023,,110.0,48.698823,18.533458,201794,True,False,,
G100000102466,Drax power station,United Kingdom,Drax Group PLC,2023,,701.0,53.737196,-0.999021,274890,True,False,,
G100000102467,Drax power station,United Kingdom,Drax Group PLC,2023,,701.0,53.737196,-0.999021,274890,True,False,,
G100000105743,Kilroot power station,United Kingdom,Energetický a průmyslový holding AS [100.0%],2023,,283.0,54.724522,-5.767263,,False,False,,
G100000105744,Kilroot power station,United Kingdom,Energetický a průmyslový holding AS [100.0%],2023,,283.0,54.724522,-5.767263,,False,False,,
G100000110895,West Burton power station,United Kingdom,EDF Energy (UK) Ltd,2023,,547.0,53.362719,-0.811836,,False,False,,
G100000110896,West Burton power station,United Kingdom,EDF Energy (UK) Ltd,2023,,547.0,53.362719,-0.811836,,False,False,,
G100000100001,A. B. Brown power station,United States,CenterPoint Energy Inc,2023,,265.2,37.910539,-87.923058,005742,True,False,,
G100000100002,A. B. Brown power station,United States,CenterPoint Energy Inc,2023,,265.2,37.910539,-87.923058,005742,True,False,,
G100000100851,Big Bend Station,United States,Emera Inc [100.0%],2023,,445.5,27.794344,-82.403206,025792,True,False,,
G100000101108,Bull Run Fossil Plant,United States,Tennessee Valley Authority [100.0%],2023,,950.0,36.021069,-84.156478,010447,True,False,,
G100000101444,Chesterfield power station,United States,Dominion Energy Inc [100.0%],2023,,359.0,37.3832,-77.382089,004029,True,False,,
G100000101445,Chesterfield power station,United States,Dominion Energy Inc [100.0%],2023,,693.9,37.3832,-77.382089,004029,True,False,,
G100000103846,Herbert Wagner Generating Station,United States,Talen Energy Corp [100.0%],2023,,359.0,39.178833,-76.52733,043737;156676,True,False,,
G100000103926,Homer City Generating Station,United States,Knighthead Capital Management LLC,2023,,660.0,40.513131,-79.197047,,False,False,,
G100000103927,Homer City Generating Station,United States,Knighthead Capital Management LLC,2023,,660.0,40.513131,-79.197047,,False,False,,
G100000103928,Homer City Generating Station,United States,Knighthead Capital Management LLC,2023,,692.0,40.513131,-79.197047,,False,False,,
G100000105598,Karn Generating Plant,United States,Consumers Energy Co [100.0%],2023,,258.0,43.641447,-83.842706,013948,True,False,,
G100000105599,Karn Generating Plant,United States,Consumers Energy Co [100.0%],2023,,258.0,43.641447,-83.842706,013948,True,False,,
G100000106154,Lansing power station,United States,Alliant Energy Corp [100.0%],2023,,274.5,43.336936,-91.166072,011554,True,False,,
G100000107941,Petersburg Generating Station,United States,AES Corp [100.0%],2023,,523.3,38.528267,-87.252886,,False,False,,
G100000108013,Pirkey Power Plant,United States,American Electric Power Company Inc [85.9%]; unknown [2.3%]; Bowie-Cass Electric Cooperative; Deep East Texas Electric Cooperative Inc; Panola-Harrison Electric Cooperative; Rusk County Electric Cooperative Inc; Upshur Rural Electric Cooperative; Wood County Electric Cooperative,2023,,720.8,32.461039,-94.484811,001440,True,False,,
G100001048286,Polk Power Station,United States,Emera Inc [100.0%],2023,,192.9,27.728611,-81.98972,025792,True,False,,
G100000108769,Sammis Plant,United States,ENERGY HARBOR Corp [100.0%],2023,,334.0,40.529167,-80.632083,,False,False,,
G100000108770,Sammis Plant,United States,ENERGY HARBOR Corp [100.0%],2023,,680.0,40.529167,-80.632083,,False,False,,
G100000108771,Sammis Plant,United States,ENERGY HARBOR Corp [100.0%],2023,,680.0,40.529167,-80.632083,,False,False,,
G100000109233,Sherburne County Plant,United States,Xcel Energy Inc [100.0%],2023,,765.3,45.379811,-93.896694,007977,True,False,,
G100000109797,Taconite Harbor Energy Center,United States,ALLETE Inc [100.0%],2023,,84.0,47.531225,-90.911758,007437,True,False,,
G100000109798,Taconite Harbor Energy Center,United States,ALLETE Inc [100.0%],2023,,84.0,47.531225,-90.911758,007437,True,False,,
G100000110969,Worsley Refinery power station,Australia,South32 Ltd [86.0%]; Japan Alumina Associates (Australia) Pty Ltd [10.0%]; small shareholder(s) [4.0%],2024,,34.0,-33.23519,116.068694,,False,False,,
G100000108817,São Luis Alumar power station,Brazil,Alcoa Corp [54.0%]; South32 Ltd [36.0%]; Rio Tinto Alcan Inc [10.0%],2024,,38.0,-2.5283,-44.3044,,False,True,,
G100000108818,São Luis Alumar power station,Brazil,Alcoa Corp [54.0%]; South32 Ltd [36.0%]; Rio Tinto Alcan Inc [10.0%],2024,,38.0,-2.5283,-44.3044,,False,True,,
G100000106677,Maritsa Iztok-3 power station,Bulgaria,Bulgarian Energy Holding EAD [27.0%]; KKR & Co. Inc,2024,,227.0,42.14502,26.003009,,False,False,,
G100000106678,Maritsa Iztok-3 power station,Bulgaria,Bulgarian Energy Holding EAD [27.0%]; KKR & Co. Inc,2024,,227.0,42.14502,26.003009,,False,False,,
G100000102981,Genesee power station,Canada,Capital Power Generation Services Inc [100.0%],2024,,430.0,53.343254,-114.304763,183187,True,False,,
G100000102982,Genesee power station,Canada,Capital Power Generation Services Inc [100.0%],2024,,450.0,53.343254,-114.304763,183187,True,False,,
G100000107497,Nueva Tocopilla power station,Chile,AES Andes SA [100.0%],2024,,136.0,-22.096448,-70.209947,030471,True,False,,
G100000107498,Nueva Tocopilla power station,Chile,AES Andes SA [100.0%],2024,,141.0,-22.096448,-70.209947,030471,True,False,,
G100000111054,Datang Xiahuayuan power station,China,Datang International Power Generation Co Ltd [100.0%],2024,,210.0,40.489128,115.2663332,103124,True,False,,
G100000114405,Dongming Petrochemical Group captive power station,China,Shandong Hongliyuan Co Ltd [97.2%]; unknown [2.8%],2024,,30.0,35.302166,115.126801,,False,False,,
G100000108973,Guangdong Shajiao power complex,China,Guangdong Electric Power Development Co Ltd [60.0%]; Hong Kong World Industry Development Co Ltd [29.6%]; Guangdong Humen Fumin Group Co Ltd [10.0%]; unknown [0.4%],2024,,330.0,22.7491928,113.6719429,211744,True,False,,
G100000108974,Guangdong Shajiao power complex,China,Guangdong Electric Power Development Co Ltd [60.0%]; Hong Kong World Industry Development Co Ltd [29.6%]; Guangdong Humen Fumin Group Co Ltd [10.0%]; unknown [0.4%],2024,,330.0,22.7491928,113.6719429,211744,True,False,,
G100000104229,Huainan Luohe power station,China,Datang International Power Generation Co Ltd [100.0%],2024,,320.0,32.68455,117.07511,103124,True,False,,
G100000104230,Huainan Luohe power station,China,Datang International Power Generation Co Ltd [100.0%],2024,,320.0,32.68455,117.07511,103124,True,False,,
G100000107258,Nanshan Aluminum Donghai power station,China,unknown [47.1%]; Nanshan Group Co Ltd [42.2%]; Hong Kong Securities Clearing Co Ltd [5.7%]; Shanghai Stock Exchange (China Securities Museum) [1.6%]; Shenzhen Stock Exchange [1.6%]; Shanghai Futures Exchange [0.9%]; Dalian Commodity Exchange [0.6%]; Zhengzhou Commodity Exchange [0.4%],2024,,220.0,37.728687,120.443329,,False,False,,
G100000106320,Shandong Huayu aluminum power station,China,Aluminum Corporation of China Ltd [55.0%]; Linyi Rongxin Holding Co Ltd [20.1%]; Huasheng Jiangquan Group Co Ltd [18.2%]; Linyi Zhongsheng Metal Technology Co Ltd [3.4%]; Linyi Zhongfa Holding Co Ltd [1.3%]; Linyi Luozhuang Financial Investment Group Co Ltd [1.2%]; Linyi Luomei Urban Construction Co Ltd [0.7%]; Agricultural Development Bank of China [0.1%],2024,,135.0,34.956982,118.305683,,False,False,,
