gvkey,ric,free_float_pct,concentrated_ownership_pct,shares_outstanding,us_listed
298318,1165.HK,68.5772,31.422799999999995,5082375490.0,0
298558,SMA.HM,33.3212,66.6788,20352836.0,0
300887,002616.SZ,41.2356,58.7644,859216368.0,0
303634,CASABLANCA.SN,17.159,82.84100000000001,2900000.0,0
311988,SRME.BO,28.8059,71.19409999999999,9060000.0,0
312580,ENLASA.SN,38.4159,61.5841,43762312.0,0
313975,ZEEP.WA,34.0386,65.9614,50823547.0,0
314163,DPSC.NS,100.0,0.0,973789640.0,0
314192,UMEME.UG,97.2153,2.784700000000001,1623878005.0,0
314479,IRLP.WA,19.8857,80.1143,20000000.0,0
315280,DRL.HM,67.4816,32.5184,9500000.0,0
315414,ODAS.IS,78.5844,21.415599999999998,1385000000.0,0
315416,ALUP11.SA,100.0,0.0,329191599.0,0
315641,1250.HK,25.0,75.0,2246588726.0,0
315972,PERENBC1.LM,93.83,6.170000000000002,863793.0,0
316431,KGKC.MM,6.2373,93.7627,122453406.0,0
317115,2638.HK,45.6105,54.3895,8836200000.0,0
317221,8326.HK,29.8727,70.1273,1227000000.0,0
317460,CHP.HM,29.3042,70.69579999999999,157658076.0,0
317535,ECKS.MI,18.0514,81.9486,17133590.0,0
317954,ROEL.BX,42.6037,57.3963,339553004.0,0
319717,MALA.KL,23.408,76.592,4886961000.0,0
319800,ADAI.NS,25.9653,74.0347,1201282642.0,0
320629,KESKI.RTS,84.0052,15.994799999999998,10987128852.0,0
321400,YU.L,38.5228,61.4772,17332967.0,0
321497,DORE.DH,33.6407,66.35929999999999,181118901.0,0
321632,UN0k.DE,87.62,12.379999999999995,416475332.0,0
321778,KPEN.NS,48.9803,51.0197,67595841.0,0
322533,BCPG.BK,39.6092,60.3908,2995759000.0,0
322735,BPP.BK,5.9399,94.0601,3047731700.0,0
323569,SLEN.MM,27.1925,72.8075,2237123773.0,0
324126,1257.HK,20.0113,79.9887,2066078000.0,0
324161,TNTP.WA,28.3538,71.6462,16389576.0,0
324462,NTGCLGAS.SN,6.9107,93.0893,2101150643.0,0
324629,S4A.HM,24.7568,75.2432,42200000.0,0
324676,IGTR.NS,100.0,0.0,952564719.0,0
324808,ADMr.AT,48.8324,51.1676,231784000.0,0
325699,IGN1L.VL,24.6232,75.3768,72388960.0,0
326073,GULF.BK,30.0552,69.9448,14939840000.0,0
326152,DWGL.JK,34.1019,65.8981,9252820991.0,0
326159,600025.SS,10.9032,89.0968,18631094257.0,0
326162,ALTS.BU,26.2082,73.7918,19931229.0,0
326395,LVLE.CM,39.7535,60.2465,766353136.0,0
326558,ENJSA.IS,20.0,80.0,1181069000.0,0
326582,PGV.HM,78.3,21.700000000000003,1123468046.0,0
326715,FCFE18.MX,100.0,0.0,853195411.0,0
326864,ELMRA.OL,83.328,16.671999999999997,109332087.0,0
326989,VPD.HM,18.9368,81.0632,106589629.0,0
327080,1671.HK,19.8398,80.1602,159920907.0,0
327421,WAAS.BO,32.1405,67.8595,13266764.0,0
327477,ADNA.NS,17.726,82.274,1647176155.0,0
327598,603693.SS,15.5368,84.4632,891475880.0,0
328001,DGEN.OM,22.6027,77.3973,222240000.0,0
329064,3498.T,75.5572,24.442800000000005,24538772.0,0
329425,DDG.HN,90.779,9.221000000000004,79839886.0,0
329726,FINT.BEL,5.0072,94.9928,26510506.0,0
330174,1713.HK,13.4293,86.5707,1074357700.0,0
330561,TTE.HM,58.9191,41.0809,28490400.0,0
330659,KPIG.NS,47.4394,52.5606,207441073.0,0
330813,MPCCEL.JS,50.861,49.139,26944861.0,0
331645,EDSHm.BA,21.52,78.48,22888085.0,0
332301,3868.HK,24.462,75.538,8519712351.0,0
332403,WIG.JS,58.0612,41.9388,11000000000.0,0
332452,002015.SZ,43.3505,56.6495,1623324614.0,0
332463,ACE.BK,16.9321,83.06790000000001,9750747760.0,0
332636,NTH.HN,29.9903,70.0097,10802053.0,0
333013,ELE.CN,38.49,61.51,331994.0,0
333098,ESUREBC1.LM,14.1442,85.8558,12836255.0,0
333165,SEALDC1.LM,10.308,89.69200000000001,27973287.0,0
333300,NATEN.IS,45.0,55.0,825000000.0,0
333449,KEEN.JK,9.9295,90.0705,3666312500.0,0
333753,ANE.NM,100.0,0.0,88285032.0,0
333819,GEG.HM,32.1746,67.8254,422508371.0,0
335504,PRIME.BK,28.5605,71.4395,4254485000.0,0
335706,HLZZ.MC,22.6044,77.3956,32734886.0,0
338093,CLOUD.OL,70.2601,29.739900000000006,318104624.0,0
338124,LAUG.CM,17.3681,82.6319,335000086.0,0
338459,601778.SS,67.851,32.149,3728444291.0,0
338892,TAQA.AD,2.6798,97.3202,112434000000.0,0
338971,DORL.TA,54.968,45.032,204457409.0,0
339028,COXA.MX,100.0,0.0,184927922.0,0
339091,MSKE.TA,40.9398,59.0602,711954387.0,0
339169,PAMEL.IS,23.934,76.066,31095331.0,0
339399,AZNOULA.KW,49.19,50.81,1100000000.0,0
339409,ETC.BK,24.161,75.839,2240000000.0,0
340032,TTA.HM,8.2337,91.7663,178559087.0,0
340330,ESEN.IS,37.492,62.508,1820000000.0,0
340856,SHOUGEC1.LM,1.52,98.48,94041778.0,0
341387,EDUNASC1.LM,3.63,96.37,170269928.0,0
341606,LYDYE.IS,35.112,64.888,1891070.0,0
343320,GITR.BO,21.6821,78.31790000000001,4112296.0,0
345688,6806.TW,44.3029,55.6971,274643000.0,0
346000,NOFR.TA,70.1127,29.887299999999996,38261505.0,0
346114,DTK.HN,62.82,37.18,682767475.0,0
346131,EVS.MI,21.2414,78.7586,23298686.0,0
346289,003035.SZ,23.0878,76.9122,3787878787.0,0
346354,MPCES.OL,68.5156,31.484399999999994,22250000.0,0
346774,SKAND.OL,8.2305,91.7695,120270960.0,0
346904,TPLR.BB,18.6242,81.3758,28349152.0,0
346972,WIND.CM,16.0634,83.9366,1354463889.0,0
347054,DEL.AX,43.3882,56.6118,244678153.0,0
347313,PRIM.TA,23.0726,76.9274,40375537.0,0
347411,600032.SS,17.1638,82.8362,2404675324.0,0
347460,RIOS3.SA,43.59,56.41,46297530.0,0
347472,MASTM.L,98.072,1.9279999999999973,242359922.0,0
347484,GWIND.IS,30.0,70.0,540000000.0,0
347683,600905.SS,32.7095,67.29050000000001,28587650142.0,0
347717,BIOEN.IS,39.587,60.413,500000000.0,0
347738,CANTE.IS,79.5002,20.499799999999993,10000000000.0,0
347739,AYDEM.IS,17.7308,82.2692,698894974.0,0
347822,ECNER.MC,13.8805,86.1195,56930530.0,0
348636,300614.SZ,50.42,49.58,160440679.0,0
348985,GIGAS.ST,29.2016,70.7984,57197225.0,0
349044,605011.SS,18.9961,81.0039,400100000.0,0
349408,ANE.MC,8.8264,91.1736,324613262.0,0
349514,ALAGO.PA,93.1698,6.830200000000005,42818983.0,0
349548,605028.SS,23.4899,76.5101,160000000.0,0
349595,ECNR.TA,53.2001,46.7999,67384728.0,0
349618,BARK.DH,63.6958,36.3042,172995488.0,0
349642,A1YEN.IS,80.0,20.0,55000000.0,0
349884,301046.SZ,40.6955,59.3045,168617530.0,0
349919,605580.SS,23.2558,76.7442,280000000.0,0
349959,TPLB.BB,19.2867,80.7133,,0
350154,CINH.L,64.2789,35.72110000000001,333914907.0,0
350155,605162.SS,25.8479,74.1521,410853157.0,0
350179,STMCHA.SN,40.2265,59.7735,3454209852.0,0
350224,CV.BK,51.6096,48.3904,854901829.0,0
350431,MAGEN.IS,24.3902,75.6098,2950000000.0,0
350660,2082.SE,29.6107,70.38929999999999,765498286.0,0
351252,ARASE.IS,17.4851,82.5149,250000000.0,0
351744,SPNEC.PS,12.52,87.48,50073050000.0,0
351868,6873.TW,59.5742,40.4258,141872000.0,0
352018,GMRP.NS,30.1881,69.81190000000001,781017529.0,0
352078,6869.TW,54.6332,45.3668,133494000.0,0
352195,SIVI.ST,43.1692,56.8308,13751028.0,0
352259,AGP.MI,41.4282,58.5718,18235574.0,0
352345,389260.KQ,20.1523,79.8477,17916325.0,0
352419,HUNER.IS,67.1138,32.8862,1000000000.0,0
352646,ENRS.MC,42.4646,57.5354,38875788.0,0
352810,AURE3.SA,30.4253,69.5747,1044527974.0,0
352947,CONSE.IS,49.0084,50.9916,771000000.0,0
352992,BGTBD.BB,8.122,91.878,8705040.0,0
353306,ASLAG.PS,20.0019,79.9981,1500000000.0,0
353597,ALCWE.PA,6.588,93.412,5198407.0,0
353723,ARKO.JK,29.7645,70.2355,2928495000.0,0
353985,001258.SZ,31.3507,68.6493,933333334.0,0
354041,UMBG.MC,6.7763,93.2237,21371632.0,0
354081,SBEN.TA,33.2059,66.7941,979449494.0,0
354082,TGE.BK,9.9003,90.0997,2511691156.0,0
354283,LGI.AX,56.5866,43.4134,103440274.0,0
354462,CGET.SN,2.2555,97.7445,2019896893.0,0
354786,GEREGU.LG,18.143,81.857,2500000000.0,0
355303,ENERG.OL,97.7584,2.2416000000000054,9301464.0,0
355383,ETC.MC,45.1149,54.8851,26744894.0,0
355999,PGEO.JK,5.3556,94.6444,41830010810.0,0
356176,AKFYE.IS,28.4362,71.5638,1196962000.0,0
356307,ALTER.PS,32.2768,67.72319999999999,3933840480.0,0
356341,001286.SZ,17.4354,82.5646,3750000000.0,0
356435,ZPRS.TA,31.0164,68.9836,65676942.0,0
356819,ALMCE.PA,20.7187,79.2813,3529755.0,0
356860,REDC.PS,22.3075,77.6925,650000002.0,0
358170,TATEN.IS,24.7655,75.2345,1118058500.0,0
358171,IZENR.IS,39.2031,60.7969,2443750000.0,0
358479,6994.TW,44.0747,55.9253,72026000.0,0
358792,BREN.JK,6.1014,93.8986,133786220000.0,0
359662,CATES.IS,20.0061,79.9939,165200000.0,0
359736,HNA.HM,4.9967,95.0033,235232210.0,0
360088,601033.SS,17.6667,82.33330000000001,900000000.0,0
360320,ROSMTL.BX,38.1964,61.8036,8141731.0,0
360468,475150.KS,13.7001,86.2999,33731219.0,0
360645,MOGAN.IS,10.4553,89.5447,2440108000.0,0
360746,TRANSPOWER.LG,7.5287,92.4713,7500000000.0,0
360898,CREC.PS,19.9995,80.0005,11160715179.0,0
360994,ENTRA.IS,18.2643,81.73570000000001,1845000000.0,0
361625,ROPE.BX,18.06,81.94,125001250.0,0
362004,453450.KQ,43.7759,56.2241,7942750.0,0
362238,XG.PS,21.1409,78.8591,1490000003.0,0
362421,DEA.MI,100.0,0.0,3025473.0,0
364169,CGFD.MI,10.5754,89.4246,5144000.0,0
364328,ACMO.NS,16.4805,83.5195,605388914.0,0
364416,COXGA.MC,16.81,83.19,84898834.0,0
364457,NTPG.NS,10.9933,89.0067,8426329669.0,0
365517,HGII.JK,16.3873,83.6127,6500000000.0,0
365762,BIGEN.IS,20.0173,79.9827,577000000.0,0
365775,ENDAE.IS,67.9098,32.090199999999996,437197170.0,0
366608,350A.T,54.8307,45.1693,40449780.0,0
367639,VCN.CS,50.82,49.18,10258850.0,0
367684,ENRGY.BR,9.0778,90.9222,60722840.0,0
367697,600930.SS,18.9334,81.0666,41714285714.0,0
367728,CDIA.JK,9.9687,90.0313,124829374700.0,0
368541,JSSL.KL,30.5597,69.44030000000001,325000000.0,0
368841,SOLW.NS,22.1065,77.8935,86672654.0,0
369781,WASO.KL,21.2886,78.7114,500000000.0,0
370368,ARFYE.IS,100.0,0.0,182837401.0,0
