gvkey,fdate,total_inst_shares,n_managers,hhi_managers,top5_concentration,shrout_thousands,inst_pct,inst_pct_capped
010905,2020-12-31,1.0,1,1.0,1.0,56629.0,1.7658796729590847e-05,1.7658796729590847e-05
010905,2021-03-31,1.0,1,1.0,1.0,56629.0,1.7658796729590847e-05,1.7658796729590847e-05
010905,2021-06-30,1.0,1,1.0,1.0,56629.0,1.7658796729590847e-05,1.7658796729590847e-05
010905,2021-09-30,1.0,1,1.0,1.0,56629.0,1.7658796729590847e-05,1.7658796729590847e-05
010905,2021-12-31,1.0,1,1.0,1.0,56629.0,1.7658796729590847e-05,1.7658796729590847e-05
010905,2022-03-31,1.0,1,1.0,1.0,56629.0,1.7658796729590847e-05,1.7658796729590847e-05
010905,2022-06-30,1.0,1,1.0,1.0,56629.0,1.7658796729590847e-05,1.7658796729590847e-05
010905,2022-09-30,1.0,1,1.0,1.0,56629.0,1.7658796729590847e-05,1.7658796729590847e-05
010905,2022-12-31,1.0,1,1.0,1.0,56629.0,1.7658796729590847e-05,1.7658796729590847e-05
010905,2023-03-31,1.0,1,1.0,1.0,56629.0,1.7658796729590847e-05,1.7658796729590847e-05
010905,2023-06-30,1.0,1,1.0,1.0,56629.0,1.7658796729590847e-05,1.7658796729590847e-05
010905,2023-09-30,1.0,1,1.0,1.0,56629.0,1.7658796729590847e-05,1.7658796729590847e-05
010905,2023-12-31,1.0,1,1.0,1.0,56629.0,1.7658796729590847e-05,1.7658796729590847e-05
010905,2024-03-31,1.0,1,1.0,1.0,56629.0,1.7658796729590847e-05,1.7658796729590847e-05
010905,2024-06-30,1.0,1,1.0,1.0,56629.0,1.7658796729590847e-05,1.7658796729590847e-05
010905,2024-09-30,1.0,1,1.0,1.0,56629.0,1.7658796729590847e-05,1.7658796729590847e-05
010905,2024-12-31,1.0,1,1.0,1.0,56629.0,1.7658796729590847e-05,1.7658796729590847e-05
010905,2025-03-31,1.0,1,1.0,1.0,56629.0,1.7658796729590847e-05,1.7658796729590847e-05
010905,2025-06-30,1.0,1,1.0,1.0,56629.0,1.7658796729590847e-05,1.7658796729590847e-05
010905,2025-09-30,1.0,1,1.0,1.0,56629.0,1.7658796729590847e-05,1.7658796729590847e-05
010999,2008-03-31,1506467.0,36,0.08645243821758895,0.5765562737185747,5757.0,261.67569914886224,1.0
010999,2008-06-30,1505567.0,36,0.09080961272787458,0.5890093233977631,5765.0,261.15646140503037,1.0
010999,2008-09-30,1563142.0,36,0.09318069464417987,0.5875186003574852,5774.0,270.7208174575684,1.0
010999,2008-12-31,2551705.0,43,0.15789448651108395,0.6233490940371242,7788.0,327.64573703133027,1.0
010999,2009-03-31,2849826.0,47,0.14212287663898288,0.5943636558863594,8096.0,352.00419960474306,1.0
010999,2009-06-30,4482801.0,76,0.053581786878968495,0.4387700903966069,10513.0,426.40549795491296,1.0
010999,2009-09-30,4656632.0,72,0.051028633324972594,0.40480695060292504,10817.0,430.49200332809465,1.0
010999,2009-12-31,5990568.0,74,0.07942019407275186,0.5122031834043116,10827.0,553.298974785259,1.0
010999,2010-03-31,5949354.0,70,0.07816652934102147,0.521520487770605,10838.0,548.9346742941502,1.0
010999,2010-06-30,5602257.0,68,0.07593765841168537,0.4791645581414776,10860.0,515.8616022099447,1.0
010999,2010-09-30,5553561.0,66,0.07609706916693867,0.49094319842709927,10871.0,510.86017845644375,1.0
010999,2010-12-31,5223256.0,75,0.06209530944674292,0.47203391907270104,10881.0,480.0345556474589,1.0
010999,2011-03-31,5142226.0,78,0.06448205796027272,0.4522809771488068,10916.0,471.0723708318065,1.0
010999,2011-06-30,4852851.0,80,0.06064623803665236,0.44649238148873727,10926.0,444.1562328390994,1.0
010999,2011-09-30,4724006.0,82,0.061416178828104045,0.44301467864350724,10936.0,431.9683613752743,1.0
010999,2011-12-31,4558056.0,85,0.06405067272000221,0.45340579404904197,10946.0,416.41293623241364,1.0
010999,2012-03-31,4531374.0,89,0.0654333966649358,0.45987486356235435,10981.0,412.65586012202897,1.0
010999,2012-06-30,7054578.0,112,0.04955324178121156,0.42347153862357184,13391.0,526.8148756627586,1.0
010999,2012-09-30,6718460.0,108,0.054282538412888555,0.440181827383061,13759.0,488.2956610218766,1.0
010999,2012-12-31,6548131.0,102,0.05674609795852341,0.4461045449457257,13770.0,475.5360203340596,1.0
010999,2013-03-31,6436330.0,106,0.05972019267993616,0.4348861851396681,13803.0,466.2993552126349,1.0
010999,2013-06-30,6606664.0,105,0.051671005176344556,0.4061533929983423,13813.0,478.29320205603415,1.0
010999,2013-09-30,6640652.0,102,0.05440951240593159,0.41122618682623335,13823.0,480.40599001663895,1.0
010999,2013-12-31,6435998.0,107,0.05353785463025134,0.4117005629896094,13832.0,465.2977154424523,1.0
010999,2014-03-31,6628338.0,110,0.053575216432071776,0.4151339295008794,13879.0,477.5803732257367,1.0
010999,2014-06-30,6696997.0,117,0.04937051770589922,0.4057842642008052,13879.0,482.5273434685496,1.0
010999,2014-09-30,6872666.0,122,0.04825552898960719,0.4117898352691663,13898.0,494.5075550438912,1.0
010999,2014-12-31,7119652.0,125,0.048824768583163716,0.4226646190010411,13908.0,511.91055507621513,1.0
010999,2015-03-31,7149839.0,128,0.04925067493982664,0.4229896645225158,13958.0,512.2395042269666,1.0
010999,2015-06-30,7206533.0,129,0.048543025182171046,0.41988387481192413,13967.0,515.9685687692418,1.0
010999,2015-09-30,7372083.0,121,0.04844405857923674,0.41831677695435604,13975.0,527.5193559928443,1.0
010999,2015-12-31,7658355.0,126,0.0491516398514883,0.41735294328873496,13983.0,547.6904097833083,1.0
010999,2016-03-31,7984551.0,133,0.04859425614143989,0.41382502284724587,14037.0,568.821756785638,1.0
010999,2016-06-30,8235169.0,132,0.049399275242062834,0.416182594431274,14037.0,586.6758566645294,1.0
010999,2016-09-30,8337193.0,127,0.049129527192214605,0.4174620882592019,14053.0,593.2678431651605,1.0
010999,2016-12-31,8578887.0,128,0.05042334840963783,0.42675920547735385,14060.0,610.1626600284495,1.0
010999,2017-03-31,8641126.0,136,0.05072614061961737,0.43720089256886197,14102.0,612.758899446887,1.0
010999,2017-06-30,8551214.0,134,0.052235011174382215,0.44846486124660195,14102.0,606.3830662317401,1.0
010999,2017-09-30,8526062.0,136,0.053407014845578665,0.45714832943978123,14116.0,603.9998583168036,1.0
010999,2017-12-31,9376668.0,159,0.04521327582546031,0.4117937203279459,14960.0,626.7826203208556,1.0
010999,2018-03-31,9584298.0,154,0.04624523081698139,0.4146006311573367,14855.0,645.1900370245709,1.0
010999,2018-06-30,9565179.0,160,0.04776625611495446,0.42255685962594114,14861.0,643.643025368414,1.0
010999,2018-09-30,9735182.0,155,0.04884716346755907,0.42904601064469056,14867.0,654.818187933006,1.0
010999,2018-12-31,9721085.0,158,0.05185742894897431,0.4405597729060079,14873.0,653.6061991528272,1.0
010999,2019-03-31,10101833.0,163,0.04869433935759011,0.42488793865430163,14912.0,677.4297880901288,1.0
010999,2019-06-30,10088918.0,168,0.04817578580382395,0.4314024556448967,14916.0,676.3822740681147,1.0
010999,2019-09-30,10233675.0,176,0.04735699989716816,0.4264467065839007,14921.0,685.8571811540781,1.0
010999,2019-12-31,10260178.0,178,0.04779928589672256,0.4259856895270238,14926.0,687.4030550716869,1.0
010999,2020-03-31,10414432.0,171,0.046881787486967794,0.4193504744185761,14960.0,696.151871657754,1.0
010999,2020-06-30,10524572.0,163,0.046002315454324594,0.41722998331903666,14959.0,703.5612006150144,1.0
010999,2020-09-30,10549107.0,161,0.04609303015305328,0.4136337796175544,14997.0,703.4144828965793,1.0
010999,2020-12-31,10559744.0,151,0.052202482320991096,0.43558461265727655,15007.0,703.6545612047711,1.0
010999,2021-03-31,10554882.0,151,0.05451067244168301,0.4498714433756815,15037.0,701.9273791314757,1.0
010999,2021-06-30,11369762.0,164,0.07658166833803219,0.4794089797130318,15043.0,755.8174566243435,1.0
010999,2021-09-30,11744930.0,167,0.07408643016639489,0.47288421472073483,15847.0,741.1453271912665,1.0
010999,2021-12-31,11582131.0,174,0.08095532663426709,0.4793259547832778,15973.0,725.1068052338321,1.0
010999,2022-03-31,11482588.0,185,0.08141807693098016,0.4820941933996064,16016.0,716.9448051948052,1.0
010999,2022-06-30,12295895.0,187,0.08165969062145242,0.4751672001102807,16031.0,767.007360738569,1.0
010999,2022-09-30,11952349.0,193,0.08222857252644061,0.47775663177171285,16035.0,745.3912690988462,1.0
010999,2022-12-31,11998743.0,191,0.0820177274721066,0.46977595903170855,16035.0,748.2845650140318,1.0
010999,2023-03-31,11730934.0,200,0.08786026909846205,0.48657370333854066,16083.0,729.3996144997824,1.0
010999,2023-06-30,12123677.0,191,0.08417521672959054,0.47872184321637734,16087.0,753.6319388325977,1.0
010999,2023-09-30,12107344.0,185,0.08211482061883857,0.4736152702029446,16092.0,752.3827989062888,1.0
010999,2023-12-31,12464755.0,197,0.08063408492542892,0.48005556467014393,16098.0,774.3045719965213,1.0
010999,2024-03-31,12259540.0,195,0.08161017135568689,0.4848733312995431,16164.0,758.447166542935,1.0
010999,2024-06-30,12386982.0,216,0.0801243971246786,0.4798487638070355,16168.0,766.1418852053439,1.0
010999,2024-09-30,12790596.0,229,0.07649810068565947,0.47153471190865537,16174.0,790.8121676765179,1.0
010999,2024-12-31,12822524.0,223,0.0803304349582092,0.4852586745012136,16189.0,792.0516400024708,1.0
010999,2025-03-31,12728387.0,243,0.07544241867212505,0.48076610178493157,16246.0,783.4782100209283,1.0
010999,2025-06-30,13129816.0,237,0.07448324648334154,0.48472453840937296,16260.0,807.4917589175892,1.0
010999,2025-09-30,14613059.0,234,0.06754773471748146,0.44669675254168206,17686.0,826.2500848128464,1.0
011304,2008-03-31,39808164.0,150,0.04420311417638671,0.3734773600711653,53027.0,750.7149942482132,1.0
011304,2008-06-30,42009219.0,163,0.033093179917262884,0.3218124097950976,53051.0,791.864790484628,1.0
011304,2008-09-30,41192619.0,157,0.03020396859194524,0.2878943434016662,53497.0,769.9986728227751,1.0
011304,2008-12-31,40221243.0,163,0.03123890471216923,0.31256443268051165,54431.0,738.9399974279363,1.0
011304,2009-03-31,36596326.0,165,0.028829980307860065,0.28904753990878757,54642.0,669.7471908056074,1.0
011304,2009-06-30,38159879.0,160,0.0282214519850429,0.2721910360355178,54643.0,698.3489010486247,1.0
011304,2009-09-30,38639632.0,158,0.031874902820023976,0.3030260484882465,54692.0,706.4951364002047,1.0
