gvkey,month_end,log_size,log_bm,mom12_2,size_t,bm_t,mom_t
004029,2008-08-31,17.044126835821242,-0.6332123283059875,,3,1,
004029,2008-09-30,17.026747183911294,-0.615832676396041,,3,1,
004029,2008-10-31,16.86435940801632,-0.4534449005010678,,3,1,
004029,2008-11-30,16.879133958574318,-0.4682194510590636,,3,1,
004029,2008-12-31,16.852157370876114,-0.4412428633608617,,3,1,
004029,2009-01-31,16.836420204642042,-0.42550569712678843,-0.19415458153774134,3,1,2
004029,2009-02-28,16.68395004909104,-0.2730355415757883,-0.13442519080955362,3,1,2
004029,2009-03-31,16.71526339396092,-0.3043488864456695,-0.09380869674503134,3,1,2
004029,2009-04-30,16.68811536530102,-0.2772008577857681,-0.2289258924910309,3,1,2
004029,2009-05-31,16.74696179189615,-0.33604728438089676,-0.2547633075327287,3,1,2
004029,2009-06-30,16.796964540140685,-0.34547280764990496,-0.32614072841687625,3,1,2
004029,2009-07-31,16.81720092676524,-0.3657091942744576,-0.29752991822740726,3,1,2
004029,2009-08-31,16.795668994431757,-0.34417726194097525,-0.20618246109079474,3,1,2
004029,2009-09-30,16.83769944831358,-0.3862077158227988,-0.1924420214939664,3,1,2
004029,2009-10-31,16.825744210426077,-0.3742524779352966,-0.18528304020712505,3,1,1
004029,2009-11-30,16.894095169097938,-0.44260343660715634,0.0019216386080471715,3,1,1
004029,2009-12-31,16.961584253325764,-0.5100925208349844,-0.034988540744657626,3,1,1
004029,2010-01-31,16.923349693023905,-0.47185796053312257,0.0705802833530027,3,1,2
004029,2010-02-28,16.94218788519976,-0.4906961527089801,0.16681198575921852,3,1,2
004029,2010-03-31,17.021116318910014,-0.5696245864192327,0.2907501117592235,3,1,2
004029,2010-04-30,17.030982885500745,-0.5794911530099648,0.28993800859089247,3,1,2
004029,2010-05-31,16.96062202474437,-0.5091302922535885,0.4342907734029038,3,1,3
004029,2010-06-30,16.954959203948885,-0.4199970221579587,0.3639122542088782,3,1,2
004029,2010-07-31,17.035518040666137,-0.5005558588752108,0.22358707828631408,3,1,3
004029,2010-08-31,17.0413050984259,-0.5063429166349751,0.20299546838248084,3,1,3
004029,2010-09-30,17.062836199891766,-0.5278740181008393,0.3151201748365562,3,1,3
004029,2010-10-31,17.04349983607649,-0.5085376542855635,0.29681898339509827,3,1,3
004029,2010-11-30,16.998074918890868,-0.4631127370999423,0.34097506348380513,3,1,3
