gem_parent,gem_norm,gvkey,conm,fic,isin,match_type,coal_mw,gas_mw,solar_mw,wind_mw,fossil_mw,total_mw,alpha
Shanghai Electric Power Co Ltd,shanghai electric power,100302,KANSAI ELECTRIC POWER CO,JPN,JP3228600007,jaccard_0.50,9252.5,4434.2,255.0,300.0,13686.6,14241.6,0.9610
Shanghai Electric Power Co Ltd,shanghai electric power,030874,KEPCO-KOREA ELEC POWER CORP,KOR,KR7015760002,jaccard_0.50,9252.5,4434.2,255.0,300.0,13686.6,14241.6,0.9610
Shanghai Electric Power Co Ltd,shanghai electric power,011188,VIRGINIA ELECTRIC & POWER CO,USA,,jaccard_0.50,9252.5,4434.2,255.0,300.0,13686.6,14241.6,0.9610
Shanghai Electric Power Co Ltd,shanghai electric power,100688,TOKYO ELECTRIC POWER CO HOLD,JPN,JP3585800000,jaccard_0.50,9252.5,4434.2,255.0,300.0,13686.6,14241.6,0.9610
Shanghai Electric Power Co Ltd,shanghai electric power,100365,HOKKAIDO ELECTRIC POWER CO,JPN,JP3850200001,jaccard_0.50,9252.5,4434.2,255.0,300.0,13686.6,14241.6,0.9610
Shanghai Electric Power Co Ltd,shanghai electric power,001440,AMERICAN ELECTRIC POWER CO,USA,,jaccard_0.50,9252.5,4434.2,255.0,300.0,13686.6,14241.6,0.9610
Shanghai Electric Power Co Ltd,shanghai electric power,205365,OKINAWA ELECTRIC POWER CO,JPN,JP3194700005,jaccard_0.50,9252.5,4434.2,255.0,300.0,13686.6,14241.6,0.9610
Shanghai Electric Power Co Ltd,shanghai electric power,009902,SOUTHWESTERN ELECTRIC PWR CO,USA,,jaccard_0.50,9252.5,4434.2,255.0,300.0,13686.6,14241.6,0.9610
Shanghai Electric Power Co Ltd,shanghai electric power,227480,SOUTHERN ELECTRIC POWER CO,PAK,PK0076101010,jaccard_0.50,9252.5,4434.2,255.0,300.0,13686.6,14241.6,0.9610
T Plus PJSC,t plus,285686,T PLUS PJSC,RUS,RU000A0HML36,exact_norm,0.0,13465.9,130.0,0.0,13465.9,13595.9,0.9904
Uniper SE,uniper,321632,UNIPER SE,DEU,DE000UNSE026,exact_norm,2393.0,10031.5,0.0,0.0,12424.5,12424.5,1.0000
Tohoku Electric Power Co Inc,tohoku electric power,100690,TOHOKU ELECTRIC POWER CO INC,JPN,JP3605400005,exact_norm,5357.1,6721.0,17.0,225.2,12078.1,12320.2,0.9803
Iberdrola SA,iberdrola,100957,IBERDROLA SA,ESP,ES0144580Y14,exact_norm,0.0,7280.3,3191.9,1580.6,7280.3,12052.8,0.6040
Tenaga Nasional Bhd,tenaga nasional bhd,104814,TENAGA NASIONAL BHD,MYS,MYL5347OO009,exact_norm,6810.0,4912.0,80.0,0.0,11722.0,11802.0,0.9932
Vietnam Electricity LLC,vietnam electricity,291049,VIETNAM ELECTRICITY,VNM,VN000000VNE5,exact_norm,9088.0,2126.0,199.0,127.0,11214.0,11540.0,0.9718
Unipro PJSC,unipro,278784,UNIPRO PJSC,RUS,RU000A0JNGA5,exact_norm,2420.0,8920.0,0.0,0.0,11340.0,11340.0,1.0000
Evergy Inc,evergy,006338,EVERGY INC,USA,,exact_norm,6123.4,4445.9,0.0,726.2,10569.2,11295.4,0.9357
Talen Energy Corp,talen energy,156676,TALEN ENERGY CORP -OLD,USA,,exact_norm,3677.5,7393.6,0.0,0.0,11071.1,11071.1,1.0000
Talen Energy Corp,talen energy,043737,TALEN ENERGY CORP,USA,,exact_norm,3677.5,7393.6,0.0,0.0,11071.1,11071.1,1.0000
Kyushu Electric Power Co Inc,kyushu electric power,100488,KYUSHU ELECTRIC POWER CO INC,JPN,JP3246400000,exact_norm,3307.7,6605.9,0.0,17.5,9913.5,9931.0,0.9982
EnBW Energie Baden-Württemberg AG,enbw energie badenwurttemberg,216524,ENBW ENERGIE BADEN,DEU,DE0005220008,jaccard_0.50,5590.8,2065.7,595.3,1603.0,7656.4,9854.7,0.7769
Electricité de France SA,electricite de france,103167,ELECTRICITE DE STRASBOURG,FRA,FR0000031023,jaccard_0.50,3163.2,6517.0,103.3,0.0,9680.2,9783.5,0.9894
Jinneng Holding Shanxi Electric Power Co Ltd,jinneng shanxi electric power,251373,JINNENG HOLDING SHANXI ELECT,CHN,CNE000000776,exact_norm,9555.6,0.0,50.0,50.0,9555.6,9655.6,0.9896
China Three Gorges Renewables (Group) Co Ltd,china three gorges renewables,347683,CHINA THREE GORGES RENEWABLE,CHN,CNE1000051F2,exact_norm,0.0,0.0,7038.0,2602.0,0.0,9640.0,0.0000
Abu Dhabi National Energy Company PJSC,abu dhabi national energy,279336,ABU DHABI NATIONAL ENERGY CO,ARE,,exact_norm,250.0,7619.9,1527.2,0.0,7869.9,9397.1,0.8375
Abu Dhabi National Energy Company PJSC,abu dhabi national energy,338892,ABU DHABI NATIONAL ENERGY CO,ARE,AEA002401015,exact_norm,250.0,7619.9,1527.2,0.0,7869.9,9397.1,0.8375
Endesa SA,endesa,015321,ENDESA SA,ESP,ES0130670112,exact_norm,0.0,7784.6,1464.3,141.6,7784.6,9390.5,0.8290
Huadian New Energy Group Co Ltd,huadian new energy,367697,HUADIAN NEW ENERGY GROUP COR,CHN,CNE1000074V1,exact_norm,0.0,0.0,5638.8,3659.3,0.0,9298.2,0.0000
China Longyuan Power Group Corp Ltd,china longyuan power,259541,CHINA YANGTZE POWER CO,CHN,CNE000001G87,jaccard_0.50,0.0,0.0,1005.0,8010.9,0.0,9015.9,0.0000
Enel SpA,enel,201794,ENEL SPA,ITA,IT0003128367,exact_norm,590.0,7521.0,519.0,157.0,8111.0,8787.0,0.9231
The Chugoku Electric Power Co Inc,the chugoku electric power,100439,CHUGOKU ELECTRIC POWER CO,JPN,JP3522200009,comp_subset,3565.3,4905.2,0.0,0.0,8470.5,8470.5,1.0000
PPL Corp,ppl,008455,PPL CORP,USA,,exact_norm,5257.2,3160.0,0.0,0.0,8417.2,8417.2,1.0000
Capital Power Corp,capital power,183187,CAPITAL POWER CORP,CAN,,exact_norm,0.0,6663.5,366.0,1247.6,6663.5,8277.1,0.8051
Tata Power Company Ltd,tata power,203894,TATA POWER CO LTD,IND,INE245A01021,exact_norm,6074.5,234.0,750.0,1130.5,6308.5,8189.0,0.7704
Alliant Energy Corp,alliant energy,011554,ALLIANT ENERGY CORP,USA,,exact_norm,1749.4,3266.4,1306.1,1834.9,5015.9,8156.9,0.6149
Shaanxi ENERGY Investment Co Ltd,shaanxi energy investment,356341,SHAANXI ENERGY INVESTMENT CO,CHN,CNE100005Z70,exact_norm,8005.2,0.0,0.0,0.0,8005.2,8005.2,1.0000
DTE Energy Co,dte energy,003897,DTE ENERGY CO,USA,,exact_norm,3977.1,3874.0,0.0,0.0,7851.1,7851.1,1.0000
Datang Huayin Electric Power Co Ltd,datang huayin electric power,260021,DATANG HUAYIN ELECTRIC POWER,CHN,CNE000000M56,exact_norm,7168.8,0.0,482.5,187.0,7168.8,7838.3,0.9146
Iberdrola Renovables Energia SA,iberdrola renovables energia,287982,IBERDROLA RENOVABLES SA,ESP,ES0147645016,jaccard_0.50,0.0,0.0,0.0,7800.8,0.0,7800.8,0.0000
China Resources Power New Energy Investment Co Ltd,china resources power new energy investment,252355,CHINA POWER NEW ENERGY DEV,BMU,HK0000350550,jaccard_0.57,0.0,0.0,3760.0,3844.8,0.0,7604.8,0.0000
MidAmerican Energy Co,midamerican energy,065298,MIDAMERICAN ENERGY CO,USA,,exact_norm,0.0,0.0,25.0,7477.1,0.0,7502.1,0.0000
Gulf Development PCL,gulf development pcl,326073,GULF ENERGY DEVELO,THA,THC903010005,jaccard_0.50,0.0,6846.7,397.2,176.5,6846.7,7420.4,0.9227
WEC Energy Group Inc,wec energy,011550,WEC ENERGY GROUP INC,USA,,exact_norm,2882.8,4121.8,400.0,0.0,7004.6,7404.6,0.9460
OGE Energy Corp,oge energy,008113,OGE ENERGY CORP,USA,,exact_norm,2060.0,5321.4,0.0,0.0,7381.4,7381.4,1.0000
Ameren Corp,ameren,010860,AMEREN CORP,USA,,exact_norm,3488.8,3502.4,350.0,0.0,6991.2,7341.2,0.9523
Emera Inc,emera,025792,EMERA INC,CAN,,exact_norm,1743.8,5591.8,0.0,0.0,7335.6,7335.6,1.0000
Malakoff Corporation Bhd,malakoff bhd,319717,MALAKOFF CORPORATION BHD,MYS,MYL5264OO006,exact_norm,4940.0,2075.1,0.0,210.0,7015.1,7225.1,0.9709
China Three Gorges New Energy (Group) Co Ltd,china three gorges new energy,347683,CHINA THREE GORGES RENEWABLE,CHN,CNE1000051F2,jaccard_0.50,0.0,0.0,5206.4,1975.0,0.0,7181.4,0.0000
Edison SpA,edison,104652,EDISON SPA,ITA,IT0003372205,exact_norm,0.0,6873.0,30.0,181.0,6873.0,7084.0,0.9702
