gvkey,isin,ric
315416,BRALUPCDAM15,ALUP11.SA
315433,PK0074801017,AELT.PSX^A24
315641,KYG1146W1134,1250.HK
315972,PEP702904207,PERENBC1.LM
316431,RU000A0JP120,KGKC.MM
317115,HK0000179108,2638.HK
317221,KYG8918S1057,8326.HK
317460,VN000000CHP3,CHP.HM
317535,IT0005654766,ECKS.MI
317954,ROELECACNOR5,ROEL.BX
319717,MYL5264OO006,MALA.KL
319800,INE931S01010,ADAI.NS
320629,RU000A0JNXK9,KESKI.RTS
321400,GB00BYQDPD80,YU.L
321497,BD0319DPGSL7,DORE.DH
321632,DE000UNSE026,UN0k.DE
321729,ZAE000173498,GAMJ.J^F19
321778,INE127T01021,KPEN.NS
322533,TH7411010005,BCPG.BK
322735,TH7462010003,BPP.BK
323364,RU000A0HNRS8,MUGS.MM^L18
323569,RU0009280465,SLEN.MM
324126,KYG2R55E1030,1257.HK
324161,PLVCAOC00015,TNTP.WA
324462,CL0002863349,NTGCLGAS.SN
324629,VN000000S4A5,S4A.HM
324676,INE219X23014,IGTR.NS
324808,GRS518003009,ADMr.AT
325699,LT0000115768,IGN1L.VL
326073,THC903010005,GULF.BK
326152,ID1000141302,DWGL.JK
326159,CNE100002T71,600025.SS
326162,HU0000155726,ALTS.BU
326395,LK0456N00000,LVLE.CM
326558,TREENSA00014,ENJSA.IS
326582,VN000000PGV5,PGV.HM
326715,MXFEFC0C0003,FCFE18.MX
326864,NO0010815673,ELMRA.OL
326989,VN000000VPD2,VPD.HM
327080,CNE100002ZK7,1671.HK
327421,INE799N01012,WAAS.BO
327477,INE364U01010,ADNA.NS
327598,CNE1000036F3,603693.SS
328001,OM0000007407,DGEN.OM
328809,FR0011675362,NEOEN.PA^D25
329064,JP3211050004,3498.T
329188,TW0006639008,6639.TWO
329260,DE0006095003,HWAG.S^K25
329425,VN000000DDG9,DDG.HN
329726,RSFINEE60549,FINT.BEL
329994,ES0105385001,SPK.MC^L21
330018,MU0620N00008,ACES.MZ
330174,CNE100003FC4,1713.HK
330561,VN000000TTE6,TTE.HM
330659,INE542W01025,KPIG.NS
330813,TTE000000116,MPCCEL.JS
331645,AREDEH010018,EDSHm.BA
332301,VGG9833A1049,3868.HK
332403,JME201900086,WIG.JS
332452,CNE000001K08,002015.SZ
332463,TH8906010005,ACE.BK
332636,VN000000NTH2,NTH.HN
333013,COE02PA00016,ELE.CN
333098,PEP701581204,ESUREBC1.LM
333165,PEP703551403,SEALDC1.LM
333300,TRENATU00026,NATEN.IS
333449,ID1000150907,KEEN.JK
333753,NA000A2JQ364,ANE.NM
333819,VN000000GEG0,GEG.HM
333995,MYL03029O005,GPPR.KL
335163,UA4000124911,POON.PFT
335504,TH0839A10Z00,PRIME.BK
335545,FR0005843125,MLHYE.EUA
335706,ES0105456026,HLZZ.MC
338093,NO0010876642,CLOUD.OL
338124,LK0459N00004,LAUG.CM
338459,CNE100004025,601778.SS
338892,AEA002401015,TAQA.AD
338971,IL0011667685,DORL.TA
339028,MX01CO0U0028,COXA.MX
339091,IL0011669749,MSKE.TA
339169,TREBOMO00012,PAMEL.IS
339399,KW0EQ0504799,AZNOULA.KW
339409,TH9868010009,ETC.BK
340032,VN000000TTA4,TTA.HM
340330,TREESEN00024,ESEN.IS
340607,SI0031104597,ELOG.LJ
340608,SI0031108580,EMAG.LJ
340856,PEP703501002,SHOUGEC1.LM
341387,PEP701601002,EDUNASC1.LM
341606,TRETKGD00017,LYDYE.IS
342150,ZM0000000516,CCAF.LZ
342333,SI0031105529,ECEG.LJ
342334,SI0031107673,EGKG.LJ
343320,INE776O01018,GITR.BO
345688,TW0006806003,6806.TW
346000,IL0011708778,NOFR.TA
346114,VN000000DTK7,DTK.HN
346131,IT0005430936,EVS.MI
346263,IE00BLRPRP89,ALTA.OL^H25
346289,CNE100004CH8,003035.SZ
346354,NL0015268814,MPCES.OL
346774,NO0010931207,SKAND.OL
346904,BG1100013207,TPLR.BB
346972,LK0461N00000,WIND.CM
347054,AU0000139974,DEL.AX
347313,IL0011744575,PRIM.TA
347411,CNE1000051S5,600032.SS
347460,BRRIOSACNOR5,RIOS3.SA
347472,GB00BNG90H86,MASTM.L
347484,TREGWIN00014,GWIND.IS
347683,CNE1000051F2,600905.SS
347717,TREBION00012,BIOEN.IS
347738,TRECAN200011,CANTE.IS
347739,TREAYDM00024,AYDEM.IS
347822,ES0105548004,ECNER.MC
348636,CNE100004K60,300614.SZ
348985,SE0016101521,GIGAS.ST
349044,CNE1000050T5,605011.SS
349408,ES0105563003,ANE.MC
349471,PTGNV0AM0001,GVOLT.LS^K24
349514,FR0014004339,ALAGO.PA
349548,CNE1000077Z5,605028.SS
349595,IL0011783342,ECNR.TA
349618,BD0324BPPL05,BARK.DH
349642,TREKARY00028,A1YEN.IS
349884,CNE100004Q15,301046.SZ
349919,CNE100004QF2,605580.SS
349959,BG1100012209,TPLB.BB
350154,GG00BM9CCP98,CINH.L
350155,CNE100004PG2,605162.SS
350179,CL0002810902,STMCHA.SN
350224,THA452010Z06,CV.BK
350431,TREMARN00027,MAGEN.IS
350660,SA15CGS10H12,2082.SE
350685,EE3100137985,EGR1T.TL^H25
351252,TREARAS00039,ARASE.IS
351744,PHY8080C1028,SPNEC.PS
351868,TW0006873003,6873.TW
352018,INE0CU601026,GMRP.NS
352078,TW0006869001,6869.TW
352195,SE0000201253,SIVI.ST
352259,IT0005472730,AGP.MI
352345,KR7389260001,389260.KQ
352419,TREHUNR00025,HUNER.IS
352546,TW0007590B18,7590.TWO
352646,ES0105634002,ENRS.MC
352810,BRAUREACNOR9,AURE3.SA
352947,TRECONS00019,CONSE.IS
352992,BG1100015210,BGTBD.BB
353306,PHY7200G1005,ASLAG.PS
353597,FR001400AJ60,ALCWE.PA
353723,ID1000168909,ARKO.JK
353985,CNE100005GM6,001258.SZ
354041,ES0105670006,UMBG.MC
354081,IL0011882425,SBEN.TA
354082,THA918010002,TGE.BK
354283,AU0000237638,LGI.AX
354462,CL0002786870,CGET.SN
354786,NGGEREGU0000,GEREGU.LG
355303,NO0013698431,ENERG.OL
355383,ES0105687000,ETC.MC
355999,ID1000186505,PGEO.JK
356176,TREAKFY00015,AKFYE.IS
356307,PHY0100F1085,ALTER.PS
356341,CNE100005Z70,001286.SZ
356435,IL0011946956,ZPRS.TA
356819,FR001400H3A0,ALMCE.PA
356860,PH0000057234,REDC.PS
358170,TRETATL00022,TATEN.IS
358171,TREIZDM00016,IZENR.IS
358479,TW0006994007,6994.TW
358792,ID1000198500,BREN.JK
359662,TRECATS00015,CATES.IS
359736,VN000000HNA2,HNA.HM
360088,CNE100006JL0,601033.SS
360320,RONLG8JKKYH3,ROSMTL.BX
360468,KR7475150009,475150.KS
360645,TREMOGN00021,MOGAN.IS
360746,NGTRANSPOWE3,TRANSPOWER.LG
360898,PH0000058844,CREC.PS
360994,TREICNT00027,ENTRA.IS
361022,JP3979700006,176A.T^A26
361625,CY0200900914,ROPE.BX
362004,KR7453450009,453450.KQ
362091,PK0141001013,MUGA.PSX
362238,PH0000059016,XG.PS
362421,IT0005600249,DEA.MI
362999,TW0006987001,6987.TWO
363653,TW0006946007,6946.TWO
