parent_name,coal_mw,gas_mw,solar_mw,wind_mw,fossil_mw,clean_mw,total_mw,alpha,units
Actis LLP,0.0,3113.1,806.0,313.5,3113.1,1119.5,4232.6,0.7355,21
Pampa Energia SA,0.0,3696.7,0.0,526.8,3696.7,526.8,4223.5,0.8753,23
Power Generation 3 JSC,1244.0,2930.0,43.0,0.0,4174.0,43.0,4217.0,0.9898,8
OPC Energy Ltd,0.0,4193.3,0.0,0.0,4193.3,0.0,4193.3,1.0000,14
Svyazinvestneftekhim JSC,0.0,4192.2,0.0,0.0,4192.2,0.0,4192.2,1.0000,32
Saba Power & Water Industries Investment Co,0.0,4135.4,0.0,0.0,4135.4,0.0,4135.4,1.0000,40
Torrent Power Ltd,362.0,2732.0,238.0,763.0,3094.0,1001.0,4095.0,0.7556,24
Repsol SA,0.0,2216.0,964.6,905.4,2216.0,1870.1,4086.1,0.5423,34
Neoen SA,0.0,0.0,2734.1,1326.1,0.0,4060.2,4060.2,0.0000,59
China Cinda Asset Management Co Ltd,4016.2,10.4,0.0,0.0,4026.5,0.0,4026.5,1.0000,139
Mubadala Investment Company PJSC,0.0,4013.5,0.0,0.0,4013.5,0.0,4013.5,1.0000,18
Shikoku Electric Power Co Inc,1450.0,2544.4,0.0,8.0,3994.4,8.0,4002.4,0.9980,19
ENKA İnşaat ve Sanayi AŞ,0.0,4000.0,0.0,0.0,4000.0,0.0,4000.0,1.0000,5
Arkansas Electric Cooperative Corp,1814.3,2026.0,122.0,0.0,3840.3,122.0,3962.3,0.9692,14
Southern Power Co,0.0,0.0,1624.5,2335.9,0.0,3960.3,3960.3,0.0000,49
China Coal Energy Co Ltd,3950.3,0.0,0.0,0.0,3950.3,0.0,3950.3,1.0000,33
Kobe Steel Ltd,2700.0,1248.2,0.0,0.0,3948.2,0.0,3948.2,1.0000,6
Aluminium Bahrain BSC,0.0,3926.9,0.0,0.0,3926.9,0.0,3926.9,1.0000,7
CEZ AS,2887.0,897.0,86.0,49.0,3784.0,135.0,3919.0,0.9656,24
RusHydro PJSC,2404.6,1505.6,0.0,0.0,3910.2,0.0,3910.2,1.0000,45
China Energy Engineering Corp Ltd,2893.0,411.0,584.0,0.0,3304.0,584.0,3888.0,0.8498,25
Bridgepoint Group PLC,1300.0,2563.2,0.0,0.0,3863.2,0.0,3863.2,1.0000,26
Energy Capital Partners Management LP,1300.0,2563.2,0.0,0.0,3863.2,0.0,3863.2,1.0000,26
China Petrochemical Corp,3698.4,127.0,37.0,0.0,3825.4,37.0,3862.4,0.9904,72
Government of Ireland,0.0,3840.8,0.0,0.0,3840.8,0.0,3840.8,1.0000,22
Shanxi Coking Coal Energy Group Co Ltd,3816.0,0.0,0.0,0.0,3816.0,0.0,3816.0,1.0000,10
Zhongneng Power (Suzhou) Co Ltd,3815.0,0.0,0.0,0.0,3815.0,0.0,3815.0,1.0000,12
ORLEN SA,1598.5,1645.0,200.0,359.0,3243.6,559.0,3802.6,0.8530,29
Jaiprakash Power Ventures Ltd,3800.0,0.0,0.0,0.0,3800.0,0.0,3800.0,1.0000,7
Territorial Generating Company No 1 PJSC,153.0,3646.0,0.0,0.0,3799.0,0.0,3799.0,1.0000,26
Creditas BV,440.0,3350.6,0.0,0.0,3790.6,0.0,3790.6,1.0000,10
Capital Power Generation Services Inc,0.0,3778.0,0.0,0.0,3778.0,0.0,3778.0,1.0000,11
Water and Electricity Holding CO (Badeel),0.0,0.0,3776.4,0.0,0.0,3776.4,3776.4,0.0000,8
