gvkey,fyear,conm,fic,sic,at,sale,ppent,capx,ceq,dltt,dlc,oibdp,xint,oancf,alpha,lambda,rho,kappa,delta,source
030538,2020,ENEL GENERACION CHILE SA,CHL,4911,3090960.965,1457275.629,2136486.135,139962.121,1729217.645,758729.814,46200.031,536064.668,47674.991,361758.448,0.1465,0.2604,0.1734,7.5880,0.9426,compustat_global_utilities.csv
030538,2021,ENEL GENERACION CHILE SA,CHL,4911,3301884.155,1882345.128,2253368.402,156729.271,1499913.352,988255.863,51200.393,257102.251,47519.251,242934.778,0.1514,0.3148,0.0779,5.1123,0.9507,compustat_global_utilities.csv
030538,2022,ENEL GENERACION CHILE SA,CHL,4911,4407304.618,3250486.303,2369288.031,168305.565,2071384.867,986208.991,60897.108,843664.982,50378.424,432027.458,0.1514,0.2376,0.1914,8.5756,0.9418,compustat_global_utilities.csv
030538,2023,ENEL GENERACION CHILE SA,CHL,4911,4634288.096,3091191.803,2521910.777,177148.716,2343795.955,626260.474,405262.581,679699.479,48479.422,646799.148,0.1514,0.2226,0.1467,13.3417,0.6071,compustat_global_utilities.csv
030538,2024,ENEL GENERACION CHILE SA,CHL,4911,4807559.511,3012251.954,2711418.86,160693.12,2725131.954,652448.983,54402.257,722045.856,57115.194,1174155.253,0.1514,0.1470,0.1502,20.5577,0.9230,compustat_global_utilities.csv
030747,2010,HUANENG POWER INTERNATIONAL,CHN,4911,223952.748,102738.254,151549.351,20731.717,52891.269,79016.053,57829.734,18919.657,6097.066,18066.725,0.9310,0.6110,0.0845,2.9632,0.5774,compustat_global_utilities.csv
030747,2011,HUANENG POWER INTERNATIONAL,CHN,4911,254365.393,131533.347,177196.202,16788.659,50075.263,97699.791,59115.562,20085.925,8610.51,20949.155,0.9310,0.6165,0.0790,2.4330,0.6230,compustat_global_utilities.csv
030747,2012,HUANENG POWER INTERNATIONAL,CHN,4911,256861.869,133966.659,177392.839,15607.611,55580.789,95449.511,71948.542,29125.49,9546.364,26928.082,0.9310,0.6517,0.1134,2.8208,0.5702,compustat_global_utilities.csv
030747,2013,HUANENG POWER INTERNATIONAL,CHN,4911,260274.853,133832.875,180102.671,17729.93,61747.779,84240.221,71559.677,37952.74,8285.936,40239.429,1.0000,0.5986,0.1458,4.8564,0.5407,compustat_global_utilities.csv
030747,2014,HUANENG POWER INTERNATIONAL,CHN,4911,272164.95,124901.872,187561.199,20379.892,69198.218,81618.453,74516.563,38786.738,8371.506,33320.065,1.0000,0.5737,0.1425,3.9802,0.5227,compustat_global_utilities.csv
030747,2015,HUANENG POWER INTERNATIONAL,CHN,4911,299729.723,128165.814,216251.297,24334.311,79408.97,78192.611,93582.368,46535.109,8716.073,42362.707,1.0000,0.5731,0.1553,4.8603,0.4552,compustat_global_utilities.csv
030747,2016,HUANENG POWER INTERNATIONAL,CHN,4911,309417.628,113137.388,219610.483,20284.987,81521.508,77693.533,98404.243,34603.26,7267.49,31510.824,1.0000,0.5691,0.1118,4.3359,0.4412,compustat_global_utilities.csv
030747,2017,HUANENG POWER INTERNATIONAL,CHN,4911,378693.729,149231.632,271933.977,26045.435,75533.342,124153.913,113886.181,31004.329,10225.069,29197.363,1.0000,0.6286,0.0819,2.8555,0.5216,compustat_global_utilities.csv
030747,2018,HUANENG POWER INTERNATIONAL,CHN,4911,403441.457,167439.326,272337.639,20707.025,83234.63,156648.951,97520.602,32624.343,11040.921,28891.889,1.0000,0.6300,0.0809,2.6168,0.6163,compustat_global_utilities.csv
030747,2019,HUANENG POWER INTERNATIONAL,CHN,4911,413596.545,165159.547,282937.953,31495.781,98558.643,148131.637,98035.569,39593.438,11342.526,37324.194,1.0000,0.5952,0.0957,3.2906,0.6018,compustat_global_utilities.csv
030747,2020,HUANENG POWER INTERNATIONAL,CHN,4911,438205.752,161787.916,302094.626,42667.373,121698.537,136233.976,105475.314,43278.512,10157.473,42049.806,1.0000,0.5516,0.0988,4.1398,0.5636,compustat_global_utilities.csv
030747,2021,HUANENG POWER INTERNATIONAL,CHN,4911,490068.486,193952.873,324225.729,43483.96,105255.589,172048.043,125286.431,12457.339,10096.883,6032.841,1.0000,0.6067,0.0254,0.5975,0.5786,compustat_global_utilities.csv
030747,2022,HUANENG POWER INTERNATIONAL,CHN,4911,502605.977,236394.535,339848.807,40726.317,108535.477,196147.376,110755.271,22715.218,10955.94,32519.55,0.8675,0.6106,0.0452,2.9682,0.6391,compustat_global_utilities.csv
030747,2023,HUANENG POWER INTERNATIONAL,CHN,4911,541159.281,246462.712,374417.077,59379.758,132138.664,196619.384,97517.155,46194.87,8938.084,45497.117,0.8675,0.5435,0.0854,5.0903,0.6685,compustat_global_utilities.csv
030747,2024,HUANENG POWER INTERNATIONAL,CHN,4911,586842.754,237843.009,410388.515,63653.239,137414.784,195759.588,110225.02,52422.444,8658.253,50530.261,0.8675,0.5214,0.0893,5.8361,0.6398,compustat_global_utilities.csv
030874,2010,KEPCO-KOREA ELEC POWER CORP,KOR,4911,99610398.0,39425960.0,78899513.0,10813733.0,41017863.0,33107540.0,6769293.0,7926279.0,1624824.0,5638163.0,0.1672,0.4003,0.0796,3.4700,0.8302,compustat_global_utilities.csv
030874,2011,KEPCO-KOREA ELEC POWER CORP,KOR,4911,136467850.0,43532302.0,112384881.0,10610402.0,53270296.0,40206475.0,7133078.0,5576016.0,2123579.0,4144729.0,0.0016,0.3469,0.0409,1.9518,0.8493,compustat_global_utilities.csv
030874,2012,KEPCO-KOREA ELEC POWER CORP,KOR,4911,146152820.0,49421513.0,122376140.0,11446834.0,49888767.0,46410093.0,7816485.0,6178793.0,2344328.0,3916833.0,0.0016,0.3710,0.0423,1.6708,0.8559,compustat_global_utilities.csv
030874,2013,KEPCO-KOREA ELEC POWER CORP,KOR,4911,155527334.0,54037795.0,129637596.0,14259050.0,50259668.0,53570310.0,8202806.0,8911340.0,2381900.0,6883907.0,0.0016,0.3972,0.0573,2.8901,0.8672,compustat_global_utilities.csv
030874,2014,KEPCO-KOREA ELEC POWER CORP,KOR,4911,163708289.0,57474883.0,135812499.0,14547499.0,53601331.0,56379636.0,7214126.0,13661024.0,2351624.0,12045692.0,0.0016,0.3885,0.0834,5.1223,0.8866,compustat_global_utilities.csv
030874,2015,KEPCO-KOREA ELEC POWER CORP,KOR,4911,175257359.0,58957722.0,141361351.0,14049887.0,66634467.0,51449055.0,7963838.0,19688116.0,2015684.0,16943105.0,0.0016,0.3390,0.1123,8.4056,0.8660,compustat_global_utilities.csv
030874,2016,KEPCO-KOREA ELEC POWER CORP,KOR,4911,177837042.0,60190384.0,145743056.0,12028789.0,71723693.0,45120130.0,9060254.0,20962587.0,1752868.0,16520552.0,0.0015,0.3047,0.1179,9.4249,0.8328,compustat_global_utilities.csv
030874,2017,KEPCO-KOREA ELEC POWER CORP,KOR,4911,181788915.0,59814862.0,150882414.0,12535958.0,71681445.0,45910575.0,9255077.0,14726863.0,1789552.0,11249894.0,0.0016,0.3035,0.0810,6.2864,0.8322,compustat_global_utilities.csv
030874,2018,KEPCO-KOREA ELEC POWER CORP,KOR,4911,185249061.0,60627610.0,152743194.0,12266870.0,69743925.0,53299785.0,8018648.0,9816793.0,1868458.0,6680132.0,0.0015,0.3310,0.0530,3.5752,0.8692,compustat_global_utilities.csv
030874,2019,KEPCO-KOREA ELEC POWER CORP,KOR,4911,197597792.0,59172890.0,164701827.0,14000359.0,67496318.0,63453486.0,9493188.0,9852219.0,2046811.0,8213428.0,0.0014,0.3692,0.0499,4.0128,0.8699,compustat_global_utilities.csv
