gvkey_i,gvkey_j,w_ij
001828,102311,0.001857
001828,102797,0.006335
001828,102880,0.000792
001828,103124,0.001857
001828,103133,0.002107
001828,103167,0.004644
001828,103342,0.004644
001828,104474,0.004644
001828,104652,0.004861
001828,104814,0.003085
001828,105632,0.000906
001828,111320,0.000792
001828,114789,0.001857
001828,115687,0.001857
001828,120454,0.000792
001828,123456,0.004644
001828,127675,0.004644
001828,135990,0.003730
001828,136684,0.001243
001828,144096,0.004644
001828,144580,0.001857
001828,144646,0.000792
001828,146411,0.004644
001828,146774,0.001857
001828,152430,0.001857
001828,154941,0.004644
001828,155277,0.001857
001828,156656,0.001857
001828,156676,0.004644
001828,156818,0.001857
001828,156819,0.000792
001828,156820,0.000792
001828,157373,0.004732
001828,160913,0.001857
001828,163669,0.000792
001828,179216,0.004644
001828,180942,0.001857
001828,183187,0.001857
001828,200478,0.000792
001828,200908,0.004577
001828,201794,0.005205
001828,201795,0.004644
001828,201913,0.001857
001828,202012,0.004644
001828,202019,0.001871
001828,202023,0.004644
001828,202071,0.001857
001828,202082,0.004644
001828,202852,0.004644
001828,203496,0.000792
001828,203894,0.001857
001828,205365,0.001857
001828,206024,0.004303
001828,206346,0.000792
001828,206355,0.004644
001828,207224,0.000792
001828,208117,0.004192
001828,211744,0.001857
001828,211761,0.001857
001828,211819,0.001857
001828,212928,0.004644
001828,212950,0.005435
001828,213284,0.004644
001828,213510,0.001857
001828,213559,0.005435
001828,216524,0.002761
001828,216667,0.001910
001828,217202,0.001857
001828,217619,0.004644
001828,220454,0.000391
001828,220942,0.006467
001828,221095,0.000792
001828,221498,0.001857
001828,222601,0.004644
001828,223040,0.004267
001828,225597,0.003544
001828,227226,0.001857
001828,227480,0.001857
001828,227916,0.004644
001828,232532,0.001857
001828,233257,0.000792
001828,239577,0.001857
001828,241845,0.000792
001828,243860,0.002096
001828,244341,0.004644
001828,244394,0.002259
001828,246094,0.004644
001828,246598,0.001857
001828,246858,0.000792
001828,247493,0.004644
001828,247617,0.002736
001828,248166,0.005097
001828,248838,0.005875
001828,249456,0.001857
001828,249638,0.000792
001828,249946,0.000490
001828,251319,0.001857
001828,251373,0.000792
001828,251378,0.000792
001828,252355,0.001857
001828,252586,0.001857
001828,257082,0.001857
001828,258639,0.004644
