gvkey_i,gvkey_j,w_reg
001075,135990,0.010101
001075,005870,0.010101
001075,008199,0.010101
001440,006932,0.010101
001440,007366,0.010101
001440,004798,0.010101
001440,156676,0.010101
001440,011188,0.010101
001440,003392,0.010101
001440,006867,0.010101
001440,011550,0.010101
001440,144580,0.010101
001440,004799,0.010101
001440,008099,0.010101
001440,008810,0.010101
001440,007437,0.010101
001440,004517,0.010101
001440,008290,0.010101
001440,157373,0.010101
001440,012428,0.010101
001440,003413,0.010101
001440,011554,0.010101
001440,025588,0.010101
001440,004093,0.010101
001440,007365,0.010101
001440,007974,0.010101
001440,005135,0.010101
001440,066624,0.010101
001440,009828,0.010101
001440,007824,0.010101
001440,115687,0.010101
001440,010447,0.010101
001440,005525,0.010101
001440,006397,0.010101
001440,001995,0.010101
001440,009850,0.010101
001440,156818,0.010101
001440,010507,0.010101
001440,023465,0.010101
001440,146411,0.010101
001440,005526,0.010101
001440,013948,0.010101
001440,180942,0.010101
001440,163429,0.010101
001440,008113,0.010101
001440,043737,0.010101
001440,005385,0.010101
001440,020739,0.010101
001440,026658,0.010101
001440,009846,0.010101
001440,156820,0.010101
001440,008809,0.010101
001440,160913,0.010101
001440,001742,0.010101
001440,003210,0.010101
001440,003897,0.010101
001440,008539,0.010101
001440,013353,0.010101
001440,009691,0.010101
001440,010801,0.010101
001440,008001,0.010101
001440,001075,0.010101
001440,012555,0.010101
001440,008455,0.010101
001440,065298,0.010101
001440,116304,0.010101
001440,152430,0.010101
001440,004029,0.010101
001440,009902,0.010101
001440,011304,0.010101
001440,156656,0.010101
001440,146774,0.010101
001440,065095,0.010101
001440,012612,0.010101
001440,005914,0.010101
001440,163669,0.010101
001440,008264,0.010101
001440,065092,0.010101
001440,185429,0.010101
001440,012749,0.010101
001440,156819,0.010101
001440,007977,0.010101
001440,018293,0.010101
001440,040614,0.010101
001440,006338,0.010101
001440,004331,0.010101
001440,010860,0.010101
001440,127675,0.010101
001440,155277,0.010101
001440,144646,0.010101
001440,004241,0.010101
001440,008806,0.010101
001440,001745,0.010101
001440,007970,0.010101
001440,010327,0.010101
001440,114789,0.010101
001440,005742,0.010101
001440,014580,0.010101
001440,003439,0.010101
001440,135990,0.010101
001440,005870,0.010101
001440,008199,0.010101
001742,006932,0.010101
001742,007366,0.010101
001742,004798,0.010101
001742,156676,0.010101
001742,011188,0.010101
001742,003392,0.010101
001742,006867,0.010101
001742,011550,0.010101
001742,144580,0.010101
001742,004799,0.010101
001742,008099,0.010101
001742,001440,0.010101
001742,008810,0.010101
001742,007437,0.010101
001742,004517,0.010101
001742,008290,0.010101
001742,157373,0.010101
001742,012428,0.010101
001742,003413,0.010101
001742,011554,0.010101
001742,025588,0.010101
001742,004093,0.010101
001742,007365,0.010101
001742,007974,0.010101
001742,005135,0.010101
001742,066624,0.010101
001742,009828,0.010101
001742,007824,0.010101
001742,115687,0.010101
001742,010447,0.010101
001742,005525,0.010101
001742,006397,0.010101
001742,001995,0.010101
001742,009850,0.010101
001742,156818,0.010101
001742,010507,0.010101
001742,023465,0.010101
001742,146411,0.010101
001742,005526,0.010101
001742,013948,0.010101
001742,180942,0.010101
001742,163429,0.010101
001742,008113,0.010101
001742,043737,0.010101
001742,005385,0.010101
001742,020739,0.010101
001742,026658,0.010101
001742,009846,0.010101
001742,156820,0.010101
001742,008809,0.010101
001742,160913,0.010101
001742,003210,0.010101
001742,003897,0.010101
001742,008539,0.010101
001742,013353,0.010101
001742,009691,0.010101
001742,010801,0.010101
001742,008001,0.010101
